Major,Average Debt,Earnings,Average Best Value Score,Good Investment
Design and Applied Arts.,23662.860606060607,33872.72727272727,1.4392697804817272,False
Drama/Theatre Arts and Stagecraft.,22395.609589041094,20636.986301369863,0.9184159713048335,False
Communication Disorders Sciences and Services.,19137.967741935485,26411.290322580644,1.4295799154813529,False
Dietetics and Clinical Nutrition Services.,21618.627906976744,28932.558139534885,1.3816101776694298,False
"Health Professions and Related Clinical Sciences, Other.",22944.157894736843,35807.89473684211,1.6560756671589894,True
Business/Managerial Economics.,20555.09259259259,45209.25925925926,2.25610159730364,True
Hospitality Administration/Management.,21944.70707070707,34933.333333333336,1.6535747273241252,True
Management Sciences and Quantitative Methods.,21404.323076923076,51463.07692307692,2.4358891793664874,True
Health and Physical Education/Fitness.,23120.7756232687,28047.64542936288,1.2382496225472852,False
Agricultural Business and Management.,18822.44,41290.0,2.2729076052105417,True
Animal Sciences.,20570.242424242424,29090.909090909092,1.4460462681492503,False
Plant Sciences.,20486.83870967742,35135.48387096774,1.8313729904533949,True
Architecture.,25073.444444444445,44157.142857142855,1.77029581112628,True
Architectural Engineering.,25804.222222222223,61822.22222222222,2.4197643898436416,True
Computer Engineering.,22227.29591836735,69820.40816326531,3.2503641897813433,True
Industrial Engineering.,22265.49090909091,64649.09090909091,2.879396902324964,True
Microbiological Sciences and Immunology.,20896.5,32720.833333333332,1.520509380296961,True
Public Administration.,21451.55172413793,37627.58620689655,1.9301002294464231,True
Human Resources Management and Services.,24200.64864864865,43324.32432432433,1.9046788063894673,True
International Business.,21054.553571428572,43735.71428571428,2.1206323490275625,True
"Public Administration and Social Service Professions, Other.",21492.0,40980.0,2.2060234420353417,True
"Health Services/Allied Health/Health Sciences, General.",22790.852941176472,33651.470588235294,1.5497631981894993,True
"Parks, Recreation, Leisure, and Fitness Studies, Other.",24733.5,22750.0,0.9925775978407558,False
"Arts, Entertainment,and Media Management.",22882.904761904763,25709.52380952381,1.080102993467227,False
Computer Science.,21277.486187845305,67677.34806629835,3.4542159469722957,True
"Parks, Recreation and Leisure Studies.",21361.2,30020.0,1.4487920807812769,False
Health/Medical Preparatory Programs.,22997.033333333333,29613.333333333332,1.2930367227084167,False
"Social Sciences, General.",22478.31111111111,33120.0,1.5959178646685486,True
"Business/Commerce, General.",23544.656626506025,40436.74698795181,1.8248651101789637,True
"General Sales, Merchandising and Related Marketing Operations.",23640.36842105263,45152.63157894737,1.987944159753728,True
Natural Resources Conservation and Research.,20905.131034482758,29680.689655172413,1.46064438652568,False
"City/Urban, Community and Regional Planning.",19749.4,35690.0,1.843908524271151,True
Landscape Architecture.,23738.166666666668,43883.333333333336,1.8069036874451607,True
"Ethnic, Cultural Minority, Gender, and Group Studies.",21034.795454545456,27643.18181818182,1.4142083970952204,False
Graphic Communications.,24383.076923076922,28365.384615384617,1.209418055036332,False
"Education, Other.",23281.277777777777,30944.444444444445,1.4195555961590456,False
"Engineering, General.",22113.63888888889,59202.77777777778,2.797445833754045,True
