INSTNM,CIPDESC,DEBTMEAN,MD_EARN_WNE,BESTVALUE,Good Investment
Arizona State University-Tempe,"Teacher Education and Professional Development, Specific Levels and Methods.",20620,37800,2.016,True
Arizona State University-Tempe,"Education, Other.",21409,29800,1.4361445783132532,False
Arizona State University-Tempe,"Engineering, General.",25500,65100,2.607128554265118,True
Arizona State University-Tempe,"Aerospace, Aeronautical and Astronautical Engineering.",21291,58100,2.8068988840040583,True
Arizona State University-Tempe,Biomedical/Medical Engineering.,20042,46200,2.195295794725588,True
Arizona State University-Tempe,Chemical Engineering.,24259,54900,2.2841689203245266,True
Arizona State University-Tempe,Civil Engineering.,21889,57500,2.514980536237589,True
Arizona State University-Tempe,Computer Engineering.,24724,72100,3.035022731099512,True
Arizona State University-Tempe,"Electrical, Electronics and Communications Engineering.",21797,68000,3.2748988634174534,True
Arizona State University-Tempe,Mechanical Engineering.,20919,63500,3.097560975609756,True
Arizona State University-Tempe,Industrial Engineering.,19690,64700,3.4784946236559136,True
Arizona State University-Tempe,Mechanical Engineering Related Technologies/Technicians.,30806,48800,1.7870221180606416,True
Arizona State University-Tempe,Engineering-Related Fields.,23158,59700,2.6533333333333333,True
Arizona State University-Tempe,"Romance Languages, Literatures, and Linguistics.",21616,30200,1.3296350107867743,False
Arizona State University-Tempe,Family and Consumer Economics and Related Studies.,23716,31800,1.367741935483871,False
Arizona State University-Tempe,"Foods, Nutrition, and Related Services.",22616,30000,1.3636363636363635,False
Arizona State University-Tempe,Non-Professional General Legal Studies (Undergraduate).,21037,34100,1.6634146341463414,True
Arizona State University-Tempe,"English Language and Literature, General.",21635,31100,1.463529411764706,False
Arizona State University-Tempe,Rhetoric and Composition/Writing Studies.,26378,40600,1.5972304181911168,True
Arizona State University-Tempe,"Liberal Arts and Sciences, General Studies and Humanities.",23738,45300,1.9159194721705293,True
Arizona State University-Tempe,"Biology, General.",21011,28300,1.3859640530878103,False
Arizona State University-Tempe,"Biochemistry, Biophysics and Molecular Biology.",18710,29600,1.6651665166516652,True
Arizona State University-Tempe,Microbiological Sciences and Immunology.,23552,36100,1.544054747647562,True
Arizona State University-Tempe,Mathematics.,22637,43700,2.283176593521421,True
Arizona State University-Tempe,International/Global Studies.,19666,36100,1.8512820512820516,True
Arizona State University-Tempe,"Multi/Interdisciplinary Studies, Other.",23064,38100,1.6906283280085197,True
Arizona State University-Tempe,"Parks, Recreation and Leisure Studies.",20698,34900,1.702439024390244,True
Arizona State University-Tempe,Health and Physical Education/Fitness.,20729,27900,1.3454861111111112,False
Arizona State University-Tempe,Philosophy.,21069,35800,1.746341463414634,True
Arizona State University-Tempe,Physical Sciences.,26345,33600,1.2988519076887397,False
Arizona State University-Tempe,Chemistry.,21066,33400,1.5803170096995505,True
Arizona State University-Tempe,Physics.,20508,38400,1.9415512185256345,True
Arizona State University-Tempe,"Science Technologies/Technicians, Other.",24315,50600,2.024,True
Arizona State University-Tempe,"Psychology, General.",21152,30800,1.5004628050859845,True
Arizona State University-Tempe,Criminal Justice and Corrections.,21551,36500,1.8167338609327557,True
Arizona State University-Tempe,Public Policy Analysis.,21434,35600,1.620465200964996,True
Arizona State University-Tempe,Social Work.,20806,35700,1.785,True
Arizona State University-Tempe,Anthropology.,21644,28900,1.3761904761904762,False
Arizona State University-Tempe,Economics.,18843,46000,2.560249346023265,True
Arizona State University-Tempe,Geography and Cartography.,22610,37500,1.753155680224404,True
Arizona State University-Tempe,Political Science and Government.,20898,37400,1.8243902439024389,True
Arizona State University-Tempe,Sociology.,22319,32200,1.4976744186046511,False
Arizona State University-Tempe,Air Transportation.,23023,35400,1.4095723500836188,False
Arizona State University-Tempe,"Visual and Performing Arts, General.",20849,31400,1.6311688311688313,True
Arizona State University-Tempe,Dance.,21846,27200,1.2224719101123596,False
Arizona State University-Tempe,Design and Applied Arts.,21350,38800,1.892682926829268,True
Arizona State University-Tempe,Drama/Theatre Arts and Stagecraft.,20634,22900,1.1743589743589744,False
Arizona State University-Tempe,Film/Video and Photographic Arts.,24565,24500,1.1152585579024037,False
Arizona State University-Tempe,Fine and Studio Arts.,25421,25300,1.0041674935503075,False
Arizona State University-Tempe,Music.,15014,15900,1.2890149979732468,False
Arizona State University-Tempe,Communication Disorders Sciences and Services.,18541,24700,1.4095759858471724,False
Arizona State University-Tempe,Health/Medical Preparatory Programs.,22833,32900,1.4648263579697243,False
Arizona State University-Tempe,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",22647,63900,2.9211428571428573,True
