INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
South University-West Palm Beach,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.45,2.52,0.0
Eckerd College,0.0,12.53,2.78,3.71,0.0,1.16,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,0.0,4.18,2.09,0.0,21.58,0.22999999999999998,0.0,0.22999999999999998,0.22999999999999998,1.39,0.0,1.6199999999999999,0.0,14.62,0.0,0.0,6.7299999999999995,0.0,0.0,0.0,0.0,2.55,0.0,23.43,0.7
Florida SouthWestern State College,0.0,0.0,0.0,0.0,0.0,4.130000000000001,0.0,2.55,0.0,0.06,0.0,0.0,0.7100000000000001,0.0,64.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.990000000000002,5.41,0.0
Edward Waters College,0.0,0.0,0.0,4.760000000000001,0.0,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,14.97,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93,19.73,0.0,0.0,0.0,0.0,0.0,0.0,2.7199999999999998,0.0,31.290000000000003,0.0
Embry-Riddle Aeronautical University-Daytona Beach,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.0,28.199999999999996,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.7199999999999998,0.5,0.0,0.0,0.0,1.41,0.0,3.63,5.34,0.0,0.0,0.0,0.0,0.0,48.74,0.0,0.0,6.45,0.0
Florida Agricultural and Mechanical University,1.68,0.44,0.25,5.24,0.0,2.4299999999999997,0.0,0.9400000000000001,2.12,1.0,0.0,0.0,0.0,0.75,2.9899999999999998,0.0,5.24,0.31,0.0,19.78,0.69,0.62,0.0,0.19,0.0,5.74,6.36,4.18,4.87,0.0,0.0,0.0,0.0,2.62,20.34,9.42,0.62
Florida Atlantic University,0.0,0.0,0.0,5.35,0.0,2.4299999999999997,0.0,4.109999999999999,4.29,0.0,0.74,0.0,0.0,2.08,6.98,0.0,6.36,0.49,0.0,7.7,3.52,0.25,0.0,1.09,0.0,7.75,6.370000000000001,3.91,6.32,0.0,0.0,0.0,0.0,2.65,6.41,19.009999999999998,0.69
Florida State College at Jacksonville,0.0,0.21,0.0,0.33,0.64,5.62,1.5699999999999998,0.67,0.0,1.3299999999999998,0.0,0.31,0.72,0.0,38.58,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0,4.34,0.12,0.0,0.27,1.32,0.24,1.13,0.62,10.489999999999998,23.49,0.0
Flagler College-St Augustine,0.0,3.04,0.0,13.26,0.0,0.0,0.0,7.35,0.0,0.0,0.32,0.0,0.0,3.35,2.4,0.0,0.0,0.0,0.0,0.0,6.069999999999999,1.1199999999999999,0.0,0.0,0.0,11.34,0.0,8.469999999999999,10.22,0.0,0.0,0.0,0.0,11.82,0.0,18.529999999999998,2.7199999999999998
Florida College,0.0,0.0,0.0,4.14,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,59.309999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,20.0,4.14
Concorde Career Institute-Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Concorde Career Institute-Miramar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Concorde Career Institute-Tampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
AdventHealth University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.28999999999999,0.0,0.0
Florida Institute of Technology,0.0,0.13,0.0,1.4500000000000002,0.0,3.82,0.0,0.0,47.3,2.37,0.0,0.0,0.0,0.0,0.13,0.0,7.91,1.4500000000000002,0.0,1.4500000000000002,1.8399999999999999,0.0,0.0,4.08,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,9.22,0.0,0.0,13.04,0.0
Florida Institute of Ultrasound Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Florida International University,0.0,0.44999999999999996,0.37,7.430000000000001,0.0,3.4799999999999995,0.0,3.9699999999999998,5.26,0.44,0.22,0.0,0.0,1.92,2.11,0.0,6.45,0.29,0.0,1.73,1.97,0.51,0.0,1.59,0.0,12.379999999999999,5.42,1.6400000000000001,6.909999999999999,0.0,0.0,0.0,0.0,1.68,7.35,25.82,0.6
Florida Keys Community College,0.0,7.359999999999999,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39,0.0,0.0,0.0,5.6899999999999995,0.0,17.39,0.0,17.06,2.68,0.0
Florida Memorial University,0.0,0.0,0.0,9.42,0.0,4.19,0.0,8.38,0.0,0.0,0.0,0.0,2.09,1.05,0.0,0.0,4.71,0.0,0.0,0.0,0.0,1.05,0.0,1.05,0.0,10.99,14.66,3.1399999999999997,3.1399999999999997,0.0,0.0,0.0,5.24,4.19,0.0,26.700000000000003,0.0
Florida Career College-Miami,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,23.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.19,3.49,0.0
Florida School of Massage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Florida Southern College,1.81,2.1399999999999997,0.0,6.43,0.0,1.81,0.0,8.57,0.0,0.0,0.66,0.0,0.0,1.6500000000000001,0.0,0.0,14.000000000000002,1.15,0.0,0.16,1.32,0.49,0.0,0.16,0.0,5.4399999999999995,0.0,0.0,7.08,0.0,0.0,0.0,0.0,6.59,13.669999999999998,25.86,0.9900000000000001
Florida State University,0.0,1.7000000000000002,0.31,3.45,0.0,3.6700000000000004,0.0,2.78,4.12,0.0,1.02,4.31,0.0,4.47,3.45,0.0,8.01,0.97,0.0,0.03,1.39,0.52,0.0,1.37,0.0,6.45,5.8500000000000005,1.18,16.259999999999998,0.0,0.0,0.0,0.0,4.44,3.11,19.96,1.15
Florida Technical College,0.0,0.0,0.0,0.0,0.0,6.38,15.329999999999998,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,0.0,0.0,4.6,0.0,0.0,0.0,54.84,10.1,0.0
University of Florida,4.92,1.6199999999999999,0.33999999999999997,7.68,0.0,1.3599999999999999,0.0,2.4699999999999998,13.23,0.9299999999999999,1.7500000000000002,1.41,0.0,1.8000000000000003,3.7800000000000002,0.0,10.459999999999999,1.3,0.0,2.5,1.97,0.63,0.0,2.16,0.0,4.760000000000001,0.19,0.0,10.440000000000001,0.0,0.0,0.0,0.0,2.8899999999999997,7.6,11.52,1.37
Fort Pierce Beauty Academy,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full Sail University,0.0,0.0,0.0,14.360000000000001,19.830000000000002,8.93,0.0,0.0,0.18,0.63,0.0,0.0,0.0,4.859999999999999,0.0,0.0,0.0,0.0,0.0,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.190000000000005,0.0,2.36,0.0
George Stone Technical College,0.0,0.0,0.0,0.0,0.0,7.6499999999999995,7.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39,0.0,0.0,7.6499999999999995,14.979999999999999,7.6499999999999995,0.0,0.0,16.82,1.22,0.0
George T Baker Aviation Technical College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulf Coast State College,0.0,0.0,0.0,0.0,1.9300000000000002,3.2399999999999998,3.39,1.54,0.0,1.6199999999999999,0.0,1.0,0.45999999999999996,0.0,43.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,31.15,2.16,0.0
Key College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillsborough Community College,0.31,0.13999999999999999,0.0,0.52,0.19,3.1300000000000003,0.45999999999999996,1.39,0.0,1.24,0.0,0.25,0.7,0.0,55.45,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,1.49,0.95,0.79,0.0,0.08,18.04,5.319999999999999,0.0
Hobe Sound Bible College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hollywood Institute of Beauty Careers,0.0,0.0,0.0,0.0,0.0,0.0,84.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.03,0.0,0.0
Cortiva Institute-Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Indian River State College,0.4,0.0,0.0,0.0,1.16,4.61,3.0700000000000003,1.76,0.0,2.97,0.0,0.5,0.8,0.0,41.94,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.779999999999999,3.15,0.0,0.08,1.48,0.27999999999999997,1.44,0.33999999999999997,12.86,14.719999999999999,0.0
Sanford-Brown College-Tampa,0.0,0.0,0.0,0.0,32.43,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.190000000000005,27.029999999999998,0.0,0.0
International Academy,0.0,0.0,0.0,0.0,0.0,0.0,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0
AI Miami International University of Art and Design,0.0,0.0,0.0,0.0,7.93,5.35,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87,0.0,19.0,0.0
Jacksonville University,0.0,0.0,0.0,1.01,0.0,1.34,0.0,1.01,1.23,0.0,0.11,0.0,0.0,1.1199999999999999,0.22,0.0,3.47,0.67,0.0,0.5599999999999999,3.91,0.11,0.0,0.67,0.0,1.9,0.0,0.0,6.819999999999999,0.0,0.0,0.0,3.1300000000000003,5.1499999999999995,53.36,13.98,0.22
Keiser University-Ft Lauderdale,0.0,0.0,0.0,0.0,0.0,3.6799999999999997,1.22,0.0,0.16,0.0,0.0,0.0,2.41,0.0,2.62,0.0,0.5700000000000001,0.0,0.0,3.0300000000000002,4.4799999999999995,0.0,0.0,0.0,0.0,2.21,7.739999999999999,0.0,0.16,0.0,0.0,0.0,0.0,1.15,61.370000000000005,9.19,0.0
La Belle Beauty School,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Gateway College,1.47,2.15,0.0,0.0,0.0,2.3800000000000003,4.07,2.71,0.0,0.33999999999999997,0.0,2.71,0.0,0.0,39.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.33999999999999997,0.9000000000000001,0.0,0.0,30.2,1.24,0.0
Lake Technical College,0.0,0.0,0.0,0.0,0.0,3.92,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.730000000000004,0.0,0.0,0.0,7.489999999999999,3.5700000000000003,0.0,0.0,39.39,2.32,0.0
Lake-Sumter State College,0.0,0.0,0.0,0.0,0.0,4.64,0.0,1.29,0.0,3.2199999999999998,0.0,1.4200000000000002,0.0,0.0,70.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,0.0,0.0,0.77,0.0,0.0,0.0,0.0,10.82,6.569999999999999,0.0
Fort Myers Technical College,0.0,0.0,0.0,0.0,0.0,2.8899999999999997,3.9899999999999998,0.0,0.0,2.2,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.22,0.0,0.0,6.47,10.059999999999999,4.2700000000000005,0.0,0.0,27.96,0.41000000000000003,0.0
Lively Technical Center,0.0,0.0,0.0,0.36,1.81,1.44,17.69,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,18.05,22.38,0.0,2.8899999999999997,30.320000000000004,2.17,0.0
Lindsey Hopkins Technical College,0.0,0.0,0.0,0.0,0.0,3.88,20.26,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.449999999999996,0.0,0.0,1.72,40.089999999999996,0.0,0.0
Loraines Academy & Spa,0.0,0.0,0.0,0.0,0.0,0.0,86.83999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16,0.0,0.0
Luther Rice College & Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State College of Florida-Manatee-Sarasota,0.0,0.0,0.0,0.16,0.0,6.1,0.0,2.44,0.0,1.38,0.0,0.21,0.74,0.0,66.3,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.16,0.0,0.0,0.0,0.32,18.42,1.91,0.0
Manatee Technical College,0.0,0.0,0.0,0.0,2.79,4.4799999999999995,16.61,0.0,0.0,1.82,0.0,1.94,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61,0.0,0.0,2.79,8.12,9.09,0.0,0.0,35.76,3.39,0.0
Traviss Technical College,0.0,0.0,0.0,0.0,0.9900000000000001,5.3,14.899999999999999,0.0,0.0,1.9900000000000002,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,29.799999999999997,6.619999999999999,0.0,0.0,35.43,0.66,0.0
Merryfield School of Pet Grooming,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinity International University-Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,0.0,34.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0
Miami Lakes Educational Center and Technical College,0.0,0.0,0.0,0.0,0.0,0.0,3.4299999999999997,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859999999999999,0.0,54.410000000000004,0.0,34.8,0.0,0.0
Miami Dade College,0.09,0.0,0.0,0.0,0.21,1.66,1.91,1.47,0.0,0.89,0.0,0.53,0.41000000000000003,0.0,68.55,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.01,0.03,0.0,0.38,1.08,13.469999999999999,5.38,0.0
University of Miami,0.0,1.27,0.25,9.21,0.0,1.46,0.0,0.66,9.030000000000001,0.0,0.15,0.25,0.76,1.24,1.46,0.0,15.260000000000002,1.31,0.0,0.18,1.49,0.58,0.0,1.97,0.0,5.029999999999999,0.0,0.0,10.71,0.0,0.0,0.0,0.0,5.28,10.01,20.14,0.62
Orange Technical College-Mid Florida Campus,0.0,0.0,0.0,3.47,1.49,1.32,1.6500000000000001,0.0,0.0,0.9900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,12.870000000000001,19.31,6.93,14.19,10.73,15.02,9.08,0.0
Beauty Schools of America-Miami,0.0,0.0,0.0,0.0,0.0,0.0,93.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819999999999999,0.0,0.0
Paul Mitchell the School-Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Florida Community College,0.0,0.0,0.0,1.21,0.24,0.48,0.0,0.24,0.0,1.69,0.0,4.83,0.0,0.0,40.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.72,32.37,4.590000000000001,0.0
University of North Florida,0.0,0.0,0.15,6.370000000000001,0.0,3.84,0.0,4.8500000000000005,2.21,1.4500000000000002,1.22,0.0,0.0,2.33,6.800000000000001,0.0,4.1,1.1,0.0,3.6000000000000005,1.7399999999999998,0.47000000000000003,0.0,1.05,0.0,8.55,3.81,1.05,5.029999999999999,0.0,0.0,0.0,0.0,3.7199999999999998,18.9,16.54,1.13
Nova Southeastern University,0.0,1.03,0.0,1.43,0.0,0.8699999999999999,0.0,2.3,0.5499999999999999,0.0,0.0,0.5499999999999999,1.7399999999999998,0.4,1.5,0.0,23.75,0.24,0.0,0.0,2.22,0.32,0.0,0.32,0.0,4.83,1.82,0.79,1.9800000000000002,0.0,0.0,0.0,0.0,0.95,39.11,13.139999999999999,0.16
Northwest Florida State College,0.0,0.0,0.0,0.13999999999999999,0.0,4.0,0.0,3.44,0.0,1.7500000000000002,0.0,4.49,0.7,0.0,49.54,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,0.0,0.06999999999999999,2.11,0.0,0.63,13.96,8.35,0.0
Orange Technical College-Orlando Campus,0.0,0.0,0.0,0.0,4.64,0.0,3.7699999999999996,0.0,0.0,0.0,0.0,26.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,47.25,5.220000000000001,0.0
Palm Beach Atlantic University,0.0,0.0,0.0,7.630000000000001,0.0,1.03,0.0,4.74,0.0,0.0,0.0,0.0,0.8200000000000001,1.03,2.06,0.0,6.39,0.8200000000000001,0.0,0.21,3.71,0.21,9.69,2.68,0.0,12.989999999999998,0.0,0.0,0.62,0.0,0.0,0.0,0.0,7.22,11.129999999999999,26.39,0.62
Palm Beach State College,0.38,0.41000000000000003,0.0,0.0,0.0,7.84,1.54,1.05,0.0,0.19,0.0,3.01,0.5499999999999999,0.0,49.04,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,6.279999999999999,0.0,0.0,0.54,1.82,0.59,0.15,0.22,14.149999999999999,11.93,0.0
Pasco-Hernando State College,0.0,0.0,0.0,0.0,0.0,2.55,0.0,2.16,0.0,0.52,0.0,0.0,0.7799999999999999,0.0,50.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.319999999999999,0.0,0.0,0.0,0.0,0.38999999999999996,0.0,0.0,30.64,7.5600000000000005,0.0
Pensacola State College,0.0,0.0,0.0,0.0,0.0,2.59,9.2,1.2,0.0,2.44,0.0,1.39,0.38,0.0,48.27,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.86,0.96,2.21,0.0,0.24,18.6,10.07,0.0
Pinellas Technical College-Clearwater,0.0,0.0,0.0,0.0,1.54,4.8500000000000005,7.049999999999999,0.0,0.0,0.22,0.0,42.730000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,12.33,7.2700000000000005,0.0,0.66,19.6,2.86,0.0
Polk State College,0.0,0.0,0.0,0.0,0.09,1.41,0.0,2.91,0.0,1.46,0.0,2.7199999999999998,0.0,0.0,51.459999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,0.0,0.05,0.0,0.9900000000000001,0.0,15.920000000000002,15.07,0.0
Radford M Locklin Technical Center,0.0,0.0,0.0,0.0,0.0,9.35,1.44,0.0,0.0,5.76,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,28.78,12.950000000000001,0.0,0.0,34.53,0.0,0.0
Saint Vincent de Paul Regional Seminary,0.0,0.0,0.0,0.0,0.0,9.35,1.44,0.0,0.0,5.76,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,28.78,12.950000000000001,0.0,0.0,34.53,0.0,0.0
Ridge Technical College,0.0,0.0,0.0,0.0,3.61,0.8,21.69,0.4,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,0.0,0.0,3.2099999999999995,7.630000000000001,4.02,5.62,0.0,37.35,2.01,0.0
Ringling College of Art and Design,0.0,0.0,0.0,2.9499999999999997,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.57000000000001,0.0,0.0,0.0
Toni & Guy Hairdressing Academy-Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Morgan Educational Center and Technical College,0.0,0.0,0.0,0.0,2.65,3.9800000000000004,18.14,0.0,0.0,1.77,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,8.41,0.0,1.3299999999999998,45.129999999999995,2.65,0.0
Rollins College,0.0,4.35,0.8099999999999999,14.030000000000001,0.0,2.26,0.0,2.42,0.16,0.0,0.8099999999999999,0.0,0.0,5.0,0.48,0.0,4.03,1.6099999999999999,0.0,0.0,0.0,1.29,0.0,1.77,0.0,7.1,0.0,0.0,15.809999999999999,0.0,0.0,0.0,0.0,6.13,0.65,30.159999999999997,1.13
