INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
Black Hills Beauty College,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Hills State University,0.0,0.0,0.0,7.71,0.0,0.0,0.0,22.39,0.0,3.49,0.0,0.0,0.0,1.83,7.5200000000000005,0.0,8.81,0.18,0.0,0.5499999999999999,8.44,0.0,0.0,3.1199999999999997,0.0,6.419999999999999,0.0,3.3000000000000003,3.49,0.37,0.0,0.0,0.0,3.85,0.0,16.509999999999998,2.02
Dakota State University,0.0,0.0,0.0,0.0,0.0,42.05,0.0,14.77,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,5.4,0.0,1.1400000000000001,0.27999999999999997,0.0,0.0,6.819999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,12.5,13.639999999999999,0.0
Dakota Wesleyan University,0.0,1.8800000000000001,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.47000000000000003,0.0,10.8,0.9400000000000001,0.0,0.47000000000000003,10.33,0.9400000000000001,0.0,0.0,0.0,4.6899999999999995,3.7600000000000002,4.2299999999999995,0.0,0.0,0.0,0.0,0.0,2.82,36.15,15.959999999999999,0.0
Headlines Academy Inc,0.0,0.0,0.0,0.0,0.0,0.0,63.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.730000000000004,0.0,0.0
Lake Area Technical Institute,17.380000000000003,1.54,0.0,0.0,0.0,1.54,3.4299999999999997,0.0,0.0,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,6.38,0.0,1.77,16.43,9.81,1.77,0.0,22.220000000000002,7.920000000000001,0.0
Avera McKennan Hospital School of Radiologic Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Mitchell Technical Institute,23.39,0.0,0.0,0.74,0.0,2.39,1.1,0.0,0.0,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,3.1300000000000003,26.700000000000003,4.79,0.0,0.0,0.0,12.709999999999999,10.68,0.0
Mount Marty College,3.5700000000000003,0.0,0.0,0.0,0.0,3.5700000000000003,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7100000000000001,0.0,0.0,3.5700000000000003,0.0,0.0,2.1399999999999997,5.71,0.7100000000000001,0.0,0.0,0.0,3.5700000000000003,2.1399999999999997,0.0,5.0,0.0,0.0,0.0,0.0,0.7100000000000001,32.14,21.43,0.0
National American University-Rapid City,0.0,0.0,0.0,0.0,0.0,15.73,0.3,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38,41.54,0.0
